#1+z Log10(Mass/Msun) Log10(Median_SFR_for_SF_Halos/(Msun/yr)) One-sigma-uncertainty(dex)
1.03753 14.65 0.872655 0.564714
1.03753 14.7 0.883789 0.573863
1.03753 14.75 0.894923 0.581796
1.03753 14.8 0.906057 0.592033
1.03753 14.85 0.917191 0.602208
1.03753 14.9 0.928325 0.610837
1.03753 14.95 0.939459 0.619465
1.03753 15 0.950593 0.628951
1.04713 10 -3.2403 0.225995
1.04713 10.05 -3.12682 0.214282
1.04713 10.1 -3.01337 0.206197
1.04713 10.15 -2.89994 0.194279
1.04713 10.2 -2.78656 0.183649
1.04713 10.25 -2.67321 0.176605
1.04713 10.3 -2.55993 0.173201
1.04713 10.35 -2.4467 0.167641
1.04713 10.4 -2.33354 0.167206
1.04713 10.45 -2.22043 0.162573
1.04713 10.5 -2.10735 0.157769
1.04713 10.55 -1.99426 0.152507
1.04713 10.6 -1.88107 0.147939
1.04713 10.65 -1.76768 0.145463
1.04713 10.7 -1.65394 0.143603
1.04713 10.75 -1.53973 0.142381
1.04713 10.8 -1.42498 0.142377
1.04713 10.85 -1.30971 0.139061
1.04713 10.9 -1.19414 0.143566
1.04713 10.95 -1.07871 0.141893
1.04713 11 -0.964095 0.143128
1.04713 11.05 -0.851212 0.143214
1.04713 11.1 -0.741109 0.140224
1.04713 11.15 -0.634894 0.14312
1.04713 11.2 -0.533627 0.144619
1.04713 11.25 -0.43824 0.143777
1.04713 11.3 -0.349469 0.140916
1.04713 11.35 -0.267825 0.140048
1.04713 11.4 -0.193576 0.136123
1.04713 11.45 -0.126748 0.136356
1.04713 11.5 -0.0671423 0.132756
1.04713 11.55 -0.0143606 0.133517
1.04713 11.6 0.0321588 0.135494
1.04713 11.65 0.0730908 0.134477
1.04713 11.7 0.109168 0.13554
1.04713 11.75 0.141121 0.136165
1.04713 11.8 0.169632 0.14041
1.04713 11.85 0.195292 0.145132
1.04713 11.9 0.218595 0.148115
1.04713 11.95 0.239931 0.148987
1.04713 12 0.259609 0.150674
1.04713 12.05 0.277874 0.157512
1.04713 12.1 0.294925 0.161496
1.04713 12.15 0.310936 0.164439
1.04713 12.2 0.326058 0.167423
1.04713 12.25 0.34043 0.172623
1.04713 12.3 0.354174 0.17665
1.04713 12.35 0.3674 0.180665
1.04713 12.4 0.380202 0.188047
1.04713 12.45 0.392662 0.191945
1.04713 12.5 0.404846 0.201647
1.04713 12.55 0.41681 0.20425
1.04713 12.6 0.428598 0.213772
1.04713 12.65 0.440246 0.22002
1.04713 12.7 0.451785 0.223737
1.04713 12.75 0.463235 0.233016
1.04713 12.8 0.474617 0.241125
1.04713 12.85 0.485943 0.246241
1.04713 12.9 0.497226 0.252998
1.04713 12.95 0.508475 0.257044
1.04713 13 0.519697 0.265571
1.04713 13.05 0.530898 0.274578
1.04713 13.1 0.542082 0.281335
1.04713 13.15 0.553252 0.283165
1.04713 13.2 0.564412 0.290539
1.04713 13.25 0.575563 0.301763
1.04713 13.3 0.586708 0.310651
1.04713 13.35 0.597848 0.31583
1.04713 13.4 0.608983 0.323862
1.04713 13.45 0.620115 0.328656
1.04713 13.5 0.631245 0.334948
1.04713 13.55 0.642373 0.343686
1.04713 13.6 0.653499 0.352861
1.04713 13.65 0.664624 0.360823
1.04713 13.7 0.675748 0.368923
1.04713 13.75 0.686871 0.380908
1.04713 13.8 0.697993 0.386069
1.04713 13.85 0.709115 0.393799
1.04713 13.9 0.720237 0.40168
1.04713 13.95 0.731358 0.40813
1.04713 14 0.742479 0.415653
1.04713 14.05 0.7536 0.423426
1.04713 14.1 0.76472 0.431632
1.04713 14.15 0.775841 0.44249
1.04713 14.2 0.786961 0.452991
1.04713 14.25 0.798082 0.460344
1.04713 14.3 0.809202 0.468485
1.04713 14.35 0.820322 0.475523
1.04713 14.4 0.831443 0.483408
1.04713 14.45 0.842563 0.490531
1.04713 14.5 0.853683 0.498646
1.04713 14.55 0.864803 0.506987
1.04713 14.6 0.875923 0.515439
1.04713 14.65 0.887043 0.526931
1.04713 14.7 0.898164 0.537219
1.04713 14.75 0.909284 0.549046
1.04713 14.8 0.920404 0.558759
1.04713 14.85 0.931524 0.565957
1.04713 14.9 0.942644 0.573154
1.04713 14.95 0.953764 0.581204
1.04713 15 0.964884 0.589561
1.05682 10 -3.24305 0.221714
1.05682 10.05 -3.12947 0.209987
1.05682 10.1 -3.01591 0.201595
1.05682 10.15 -2.90239 0.190905
1.05682 10.2 -2.7889 0.181858
1.05682 10.25 -2.67546 0.175005
1.05682 10.3 -2.56207 0.171238
1.05682 10.35 -2.44873 0.166665
1.05682 10.4 -2.33546 0.165888
1.05682 10.45 -2.22224 0.159693
1.05682 10.5 -2.10904 0.15451
1.05682 10.55 -1.99583 0.151967
1.05682 10.6 -1.8825 0.146056
1.05682 10.65 -1.76896 0.143294
1.05682 10.7 -1.65504 0.141945
1.05682 10.75 -1.54061 0.140545
1.05682 10.8 -1.42555 0.141198
1.05682 10.85 -1.30988 0.136589
1.05682 10.9 -1.19379 0.140382
1.05682 10.95 -1.07768 0.139069
1.05682 11 -0.962254 0.141397
1.05682 11.05 -0.848408 0.140758
1.05682 11.1 -0.737225 0.139331
1.05682 11.15 -0.629846 0.141104
1.05682 11.2 -0.527377 0.143594
1.05682 11.25 -0.430791 0.141661
1.05682 11.3 -0.340868 0.138181
1.05682 11.35 -0.258153 0.136565
1.05682 11.4 -0.18294 0.135229
1.05682 11.45 -0.115275 0.134371
1.05682 11.5 -0.0549697 0.130973
1.05682 11.55 -0.00162667 0.131932
1.05682 11.6 0.0453218 0.132787
1.05682 11.65 0.0865655 0.133016
1.05682 11.7 0.122858 0.132272
1.05682 11.75 0.154955 0.134099
1.05682 11.8 0.183564 0.138787
1.05682 11.85 0.2093 0.143095
1.05682 11.9 0.232673 0.144938
1.05682 11.95 0.254084 0.146531
1.05682 12 0.273844 0.149144
1.05682 12.05 0.292196 0.151312
1.05682 12.1 0.309336 0.154685
1.05682 12.15 0.325433 0.15944
1.05682 12.2 0.340634 0.164804
1.05682 12.25 0.355074 0.168634
1.05682 12.3 0.368875 0.169892
1.05682 12.35 0.382146 0.176612
1.05682 12.4 0.394984 0.181817
1.05682 12.45 0.407468 0.18738
