#Model: 0.104160800000 1.830857660000 -0.278375930000 2.482630900000 2.060239220000 0.322896640000 -0.099136200000 0.696256730000 -6.783021920000 -0.740212860000 -0.243005030000 2.357406780000 -0.670161000000 0.032409440000 0.705463040000 0.078203160000 -1.313028390000 3.345707840000 -0.969087940000 -0.340795970000 1.677667720000 0.422031030000 3.105399340000 0.361458860000 2.955837030000 -0.110232830000 4.023850140000 2.321001140000 -0.161718440000 0.208850790000 0.446655700000 -1.141828020000 1.067118400000 0.102460660000 -0.229540280000 0.209918420000 0.070000000000 0.040711970000 -0.160329600000 -0.125858630000 0.332955620000 8.977376730000 -0.043766440000 0.426113490000 0.600463510000 0 356.934366097907
#Type Subtype Z1 Z2 step1 step2 SM1 SM2 smb1 smb2 R1 R2 Val Err_h Err_l Model_Val MV+ MV- Chi2 Chi2+ Chi2-
qf_uvj a 1.000000 1.500000 79 99 11.500000 11.600000 90 92 0.000000 0.000000 9.410000e-01 0.059841 0.563089 8.356884e-01 7.422543e-02 1.947735e-02 2.320317e-01 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 11.400000 11.500000 88 90 0.000000 0.000000 7.860000e-01 0.214234 0.361138 7.878360e-01 7.946659e-02 1.734911e-02 0.000000e+00 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 11.300000 11.400000 86 88 0.000000 0.000000 8.550000e-01 0.145344 0.234214 7.320070e-01 7.850596e-02 9.517974e-03 2.561713e-01 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 11.200000 11.300000 84 86 0.000000 0.000000 7.610000e-01 0.204245 0.188266 6.809501e-01 7.226450e-02 3.304300e-03 9.632269e-02 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 11.100000 11.200000 82 84 0.000000 0.000000 7.080000e-01 0.131381 0.133375 6.345013e-01 6.371173e-02 1.009989e-02 1.623538e-01 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 11.000000 11.100000 80 82 0.000000 0.000000 6.680000e-01 0.112446 0.108462 5.887918e-01 5.385651e-02 1.413360e-02 2.931737e-01 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 10.900000 11.000000 78 80 0.000000 0.000000 6.200000e-01 0.089560 0.086579 5.421844e-01 4.866300e-02 1.380385e-02 4.409517e-01 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 10.800000 10.900000 76 78 0.000000 0.000000 5.270000e-01 0.073682 0.069721 5.005501e-01 3.744786e-02 1.281567e-02 8.144841e-03 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 10.700000 10.800000 74 76 0.000000 0.000000 5.090000e-01 0.063789 0.065765 4.556989e-01 3.219514e-02 1.177750e-02 2.603131e-01 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 10.600000 10.700000 72 74 0.000000 0.000000 4.490000e-01 0.055902 0.054918 4.126840e-01 2.708007e-02 1.025859e-02 8.717596e-02 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 10.500000 10.600000 70 72 0.000000 0.000000 4.130000e-01 0.050990 0.050990 3.719354e-01 2.004229e-02 1.488225e-02 1.706597e-01 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 10.400000 10.500000 68 70 0.000000 0.000000 3.600000e-01 0.050990 0.050990 3.288460e-01 2.075174e-02 1.583160e-02 4.785102e-02 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 10.350000 10.450000 67 69 0.000000 0.000000 3.110000e-01 0.050990 0.050990 3.079214e-01 1.956442e-02 1.630252e-02 0.000000e+00 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 10.250000 10.350000 65 67 0.000000 0.000000 2.870000e-01 0.050990 0.050990 2.671669e-01 1.998001e-02 2.025868e-02 0.000000e+00 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 10.150000 10.250000 63 65 0.000000 0.000000 2.200000e-01 0.050990 0.050990 2.242253e-01 2.441038e-02 1.679256e-02 0.000000e+00 0.000000e+00 0.000000e+00
qf_uvj a 1.000000 1.500000 79 99 10.050000 10.150000 61 63 0.000000 0.000000 1.840000e-01 0.050990 0.050990 1.877992e-01 2.355732e-02 1.640914e-02 0.000000e+00 0.000000e+00 0.000000e+00
