#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 9.75 - 10.25
#HM   Stats: 6.297060e+11 (median) + 3.001470e+11  / - 1.942650e+11
#SM   Stats: 9.151870e+09 (median) + 4.939031e+09  / - 2.677170e+09
#VMP  Stats: 1.857600e+02 (median) + 2.345001e+01  / - 1.767999e+01
#ICL  Stats: 6.397690e+07 (median) + 1.954911e+08  / - 5.302450e+07
#SSFR Stats: 2.024182e-09 (median) + 3.052361e-09  / - 1.299427e-09
sm_mp 0.123123 2.43545e+07 1.45778e+08 2.35533e+07 #avg: 1.14582e+08; avg_err: 1.23152e+06; sd: 3.16457e+08; counts: 66032
sm_mp 0.126498 3.08671e+07 1.73051e+08 2.9431e+07 #avg: 1.3436e+08; avg_err: 1.37951e+06; sd: 3.54485e+08; counts: 66032
sm_mp 0.129873 3.82896e+07 2.03603e+08 3.58992e+07 #avg: 1.56418e+08; avg_err: 1.54097e+06; sd: 3.95976e+08; counts: 66032
sm_mp 0.133248 4.68486e+07 2.38546e+08 4.31732e+07 #avg: 1.80902e+08; avg_err: 1.71273e+06; sd: 4.40112e+08; counts: 66032
sm_mp 0.136623 5.69949e+07 2.78118e+08 5.17016e+07 #avg: 2.07995e+08; avg_err: 1.89495e+06; sd: 4.86936e+08; counts: 66032
sm_mp 0.141685 7.53212e+07 3.42583e+08 6.70123e+07 #avg: 2.53583e+08; avg_err: 2.18133e+06; sd: 5.60527e+08; counts: 66032
sm_mp 0.146748 9.76414e+07 4.18639e+08 8.52378e+07 #avg: 3.05672e+08; avg_err: 2.48117e+06; sd: 6.37574e+08; counts: 66032
sm_mp 0.15181 1.25472e+08 4.96245e+08 1.08019e+08 #avg: 3.65102e+08; avg_err: 2.80221e+06; sd: 7.20071e+08; counts: 66032
sm_mp 0.156873 1.58913e+08 5.88211e+08 1.35161e+08 #avg: 4.32127e+08; avg_err: 3.14838e+06; sd: 8.09025e+08; counts: 66032
sm_mp 0.161935 1.97071e+08 6.96613e+08 1.65624e+08 #avg: 5.06885e+08; avg_err: 3.5164e+06; sd: 9.03592e+08; counts: 66032
sm_mp 0.166998 2.42574e+08 8.14656e+08 2.01552e+08 #avg: 5.89256e+08; avg_err: 3.8875e+06; sd: 9.98953e+08; counts: 66032
sm_mp 0.17206 2.96363e+08 9.28887e+08 2.43496e+08 #avg: 6.79869e+08; avg_err: 4.26397e+06; sd: 1.09569e+09; counts: 66032
